local,X1,X2,X3,X4,X5,X6,X7,X8,P1symprot,P1symcarb,P1symlip,P1volume,P1chlacell,P1STsigma,P1STp,P1STETR,P1density,P1grossPhotocell,P1tauAve,P1MTtauAve,P1MTfvfm,P1mtNPQ
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,2,OG2-10,B,0.000923824,2.22E-06,0.00175796,847.3882936,0.303180363,189,0.16,286866.09,536078.6928,7.11E-09,1752,18755,0.431,0.24648986
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,3,OG3-10,B,0.000620471,2.80E-06,0.000576393,648.4502029,8.361473859,210,0.25,127496.04,330225.3302,7.08E-09,2229,14244,0.361,0.75518682
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,4,OG4-10,B,0.000610115,1.54E-06,0.001710581,750.7441816,4.831486062,208,0.24,2255.032,377695.0397,2.85E-09,2474,16839,0.322,0.772712392
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,5,OG5-10,B,0.000819262,1.27E-06,0.003188318,905.0025256,7.129824786,194,0.32,105162.55,291992.6764,6.26E-09,1650,24657,0.387,0.878294753
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,6,OG6-10,B,0.000508134,9.10E-07,0.001584506,565.8406168,4.5880008,208,0.18,259328.68,371594.6464,5.60E-09,1926,11854,0.426,0.645173863
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,7,OG7-10,B,0.000477353,6.53E-07,0.001111277,697.756374,5.200077242,201,0.16,272392.6875,653614.3755,3.19E-09,1928,12098,0.4,0.260540767
TOffshoreGoniastrea,T,Offshore,Goniastrea,C40-sp,10,8,OG8-10,B,0.001407975,9.65E-07,0.003431736,799.3953827,7.878005298,177,0.48,63325.2015,157351.6089,9.09E-09,2278,18479,0.274,0.431423266
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,1,NC1-4,t,0.000355101,9.10E-07,0.00047751,630.6740858,3.98007837,219,0.04,356143.275,751503.1038,3.72E-09,1480,21013,0.524828375,0.838065195
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,2,NC2-4,t,0.000262199,7.22E-07,0.000640521,552.0319706,3.932847257,211,0.04,642803.3765,1029248.202,2.71E-09,1596,22547,0.582472989,0.235905045
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,3,NC3-4,t,0.000255227,6.99E-07,0.000270713,500.2161586,3.473252158,220,0.04,546194.77,1049511.966,2.18E-09,1573,22471,0.570469799,0.478908189
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,4,NC4-4,t,0.000404727,1.02E-06,0.000798855,523.1653726,3.812170488,246,0.05,269367.909,572457.5327,4.08E-09,1622,24143,0.538648948,0.824242424
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,5,NC5-4,t,0.000307061,5.08E-07,0.000426459,610.7960628,4.624425334,198,0.05,379951.209,904613.2071,3.34E-09,1943,24484,0.532860386,0.679694948
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,6,NC6-4,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,7,NC7-4,t,0.000329942,6.14E-07,0.000601847,490.8867928,5.450615558,216,0.05,444935.16,713487.1076,3.36E-09,1751,24764,0.529597523,0.530805687
CNikkoCyphastrea,C,Nikko,Cyphastrea,trenchii,10,8,NC8-4,t,0.000408992,1.23E-06,0.000809333,611.0141633,4.343302694,203,0.05,556808.5985,719278.9879,4.44E-09,1909,26104,0.532259919,0.238603989
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,1,OC1-4,t,0.000471525,9.62E-07,0.000545171,627.220958,5.073586691,230,0.04,558554.08,509322.7862,4.11E-09,1450,21018,0.556091819,0.458369099
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,2,OC2-4,t,0.000541556,1.18E-06,0.000911942,1084.232239,5.284369341,281,0.04,371668.303,472132.7717,5.28E-09,1900,18587,0.527074986,1.354447439
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,3,OC3-4,t,0.000784916,1.75E-06,0.001041825,829.0111021,8.591088687,239,0.04,577819.4255,291790.4877,9.34E-09,1404,19979,0.559371147,0.466546112
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,4,OC4-4,t,0.000671198,1.12E-06,0.001021996,760.4748955,7.438745507,232,0.04,347101.464,394555.8195,4.87E-09,1545,21095,0.513842334,1.018796992
COffshoreCyphastrea,C,Offshore,Cyphastrea,C40-sp,10,5,OC5-4,t,0.000478247,9.91E-07,0.00033047,768.588024,5.699719144,233,0.05,457218.5795,642897.7478,3.46E-09,1738,21899,0.517945619,0.840934372
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,6,OC6-4,t,0.000325856,8.74E-07,0.000369816,855.9644106,6.35645986,231,0.04,581017.668,723971.4776,2.74E-09,1615,19278,0.513408151,0.377542718
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,7,OC7-4,t,0.000170715,3.78E-07,0.000294829,820.5550633,1.167951168,265,0.05,376362.6725,1971628.589,1.83E-09,1814,23079,0.466356769,0.796450939
COffshoreCyphastrea,C,Offshore,Cyphastrea,C3u-sp,10,8,OC8-4,t,0.000570106,1.43E-06,0.000748444,642.9559611,4.809481339,211,0.04,400322.3875,649490.8796,6.44E-09,1520,21117,0.574355902,0.994026284
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,1,NC1-5,t,0.000310271,1.05E-06,0.000253534,549.7759858,3.387656243,213,0.05,424900.068,993539.6286,1.89E-09,1671,29079,0.455960648,0.306122449
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,2,NC2-5,t,0.000200589,5.64E-07,0.0003703,605.3275271,3.088971567,206,0.05,433269.706,1396491.14,1.88E-09,1564,27760,0.538656987,0.516513761
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,3,NC3-5,t,0.000374865,5.83E-07,0.000686432,615.7000056,4.697430748,229,0.05,265649.2745,658391.1432,3.14E-09,1838,27624,0.477922815,0.957777778
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,4,NC4-5,t,0.000355819,6.20E-07,0.000762868,505.6659111,2.986723335,210,0.06,218564.64,517107.53,3.09E-09,1405,33131,0.502628362,1.24109589
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,5,NC5-5,t,0.000210767,5.03E-07,0.00012029,680.6540514,2.26349838,226,0.05,399379.177,1093490.394,2.33E-09,1432,25757,0.509483871,0.677489177
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,6,NC6-5,t,0.000198632,5.98E-07,0.000200599,704.0336014,2.396138747,207,0.05,222174.8595,1296871.567,2.27E-09,1399,25584,0.521618429,1.176092545
